id,name,vm_id,category,internal_port,external_port,domain,proxy_url,status,technology,notes
matomo,Matomo Analytics,web-server-1,services,8080,443,analytics.diegonmarcos.com,http://130.110.251.193:81,active,matomo:fpm-alpine,Web analytics
syncthing,Syncthing,web-server-1,services,8384,443,sync.diegonmarcos.com,http://130.110.251.193:81,active,syncthing/syncthing,File sync
npm-web,Nginx Proxy Manager,web-server-1,proxy,81,81,-,http://130.110.251.193:81,active,jc21/nginx-proxy-manager,Reverse proxy for web-server-1
n8n,n8n Automation,services-server-1,services,5678,443,n8n.diegonmarcos.com,http://129.151.228.66:81,active,n8nio/n8n,Workflow automation
npm-services,Nginx Proxy Manager,services-server-1,proxy,81,81,-,http://129.151.228.66:81,active,jc21/nginx-proxy-manager,Reverse proxy for services-server-1
mail,Mail Server,web-server-1,services,25,25,mail.diegonmarcos.com,-,development,docker-mailserver,Self-hosted email
terminal,OS Terminal,arm-server,services,-,-,-,-,development,-,Web-based terminal
dashboard,DevOps Dashboard,arm-server,services,-,-,-,-,development,-,Infrastructure dashboard
