id,name,provider,type,ip,ssh_user,ssh_key,region,status,notes
web-server-1,Web Server 1,oracle,VM.Standard.E2.1.Micro,130.110.251.193,ubuntu,~/.ssh/matomo_key,eu-marseille-1,active,Matomo + Syncthing + NPM
services-server-1,Services Server 1,oracle,VM.Standard.E2.1.Micro,129.151.228.66,ubuntu,~/.ssh/matomo_key,eu-marseille-1,active,n8n + NPM
arm-server,ARM Server,oracle,VM.Standard.A1.Flex,pending,ubuntu,~/.ssh/arm_key,eu-marseille-1,pending,4 OCPU + 24GB RAM - capacity wait
arch-1,Arch Linux 1,gcloud,e2-micro,pending,diego,~/.ssh/gcloud_key,us-central1,pending,Development VM
