file,key_count,classes,status,has_credentials_block
"a_solutions/bc-obs_lgtm/src/secrets.yaml","2","GF_SECURITY_ADMIN_PASSWORD:other,GF_SECURITY_ADMIN_USER:other","OK","true"
"a_solutions/bc-obs_matomo/src/secrets.yaml","4","MATOMO_DB_NAME:other,MATOMO_DB_PASSWORD:other,MATOMO_DB_USER:other,MYSQL_ROOT_PASSWORD:other","OK","true"
"a_solutions/bc-obs_ntfy/src/secrets.yaml","2","NTFY_ADMIN_PASSWORD:other,NTFY_USER_PASSWORD:other","OK","true"
"a_solutions/bc-obs_umami/src/secrets.yaml","4","ADMIN_PASSWORD:other,ADMIN_USERNAME:other,APP_SECRET:token,DB_PASSWORD:token","OK","true"
"a_solutions/ca-dat_backup-borg/src/secrets.yaml","3","ARCHIVE_NAME:other,BORG_PASSPHRASE:token,SOURCE_DIRS:other","OK","true"
"a_solutions/ca-dat_backup-bup/src/secrets.yaml","9","MYSQL_DBS:other,MYSQL_HOST:other,MYSQL_PASSWORD:token,MYSQL_USER:other,PGHOST:other,PGPASSWORD:other,PGUSER:other,POSTGRES_DBS:other,SQLITE_DBS:other","OK","true"
"a_solutions/ca-dat_db-agent/src/secrets.yaml","4","BUP_REMOTE:empty,NTFY_TOPIC:other,NTFY_URL:url,VM_NAME:other","OK","true"
"a_solutions/ca-dat_gitea/src/secrets.yaml","3","GITEA_ADMIN_EMAIL:other,GITEA_ADMIN_PASSWORD:other,GITEA_ADMIN_USER:other","OK","true"
"a_solutions/ca-dat_kg-graph/src/secrets.yaml","1","SURREAL_ROOT_PASSWORD:token","OK","true"
"a_solutions/ca-dat_redis/src/secrets.yaml","1","REDIS_PASSWORD:token","OK","true"
"b_infra/home-manager/nixhm-sudo-gcp-proxy/src/secrets.yaml","13","CLAUDE_WEBSERVER_PUB:other,GCP_COMPUTE_ENGINE:multi,GCP_COMPUTE_ENGINE_PUB:other,ID_ED25519:multi,MATOMO_SERVER_PUB:other,SURFACE_DEPLOY_PUB:other,SURFACE_NIXOS_PUB:other,VAULT_ID_RSA:multi,VAULT_ID_RSA_PUB:other,WG_PRIVATE_KEY_GCP_PROXY:token,WG_PRIVATE_KEY_OCI_ANALYTICS:token,WG_PRIVATE_KEY_OCI_APPS:token,WG_PRIVATE_KEY_OCI_MAIL:token","OK","true"
"b_infra/home-manager/nixhm-sudo-gcp-t4/src/secrets.yaml","13","CLAUDE_WEBSERVER_PUB:other,GCP_COMPUTE_ENGINE:multi,GCP_COMPUTE_ENGINE_PUB:other,ID_ED25519:multi,MATOMO_SERVER_PUB:other,SURFACE_DEPLOY_PUB:other,SURFACE_NIXOS_PUB:other,VAULT_ID_RSA:multi,VAULT_ID_RSA_PUB:other,WG_PRIVATE_KEY_GCP_PROXY:token,WG_PRIVATE_KEY_OCI_ANALYTICS:token,WG_PRIVATE_KEY_OCI_APPS:token,WG_PRIVATE_KEY_OCI_MAIL:token","OK","true"
"b_infra/home-manager/nixhm-sudo-oci-analytics/src/secrets.yaml","13","CLAUDE_WEBSERVER_PUB:other,GCP_COMPUTE_ENGINE:multi,GCP_COMPUTE_ENGINE_PUB:other,ID_ED25519:multi,MATOMO_SERVER_PUB:other,SURFACE_DEPLOY_PUB:other,SURFACE_NIXOS_PUB:other,VAULT_ID_RSA:multi,VAULT_ID_RSA_PUB:other,WG_PRIVATE_KEY_GCP_PROXY:token,WG_PRIVATE_KEY_OCI_ANALYTICS:token,WG_PRIVATE_KEY_OCI_APPS:token,WG_PRIVATE_KEY_OCI_MAIL:token","OK","true"
"b_infra/home-manager/nixhm-sudo-oci-apps/src/secrets.yaml","13","CLAUDE_WEBSERVER_PUB:other,GCP_COMPUTE_ENGINE:multi,GCP_COMPUTE_ENGINE_PUB:other,ID_ED25519:multi,MATOMO_SERVER_PUB:other,SURFACE_DEPLOY_PUB:other,SURFACE_NIXOS_PUB:other,VAULT_ID_RSA:multi,VAULT_ID_RSA_PUB:other,WG_PRIVATE_KEY_GCP_PROXY:token,WG_PRIVATE_KEY_OCI_ANALYTICS:token,WG_PRIVATE_KEY_OCI_APPS:token,WG_PRIVATE_KEY_OCI_MAIL:token","OK","true"
"b_infra/home-manager/nixhm-sudo-oci-mail/src/secrets.yaml","13","CLAUDE_WEBSERVER_PUB:other,GCP_COMPUTE_ENGINE:multi,GCP_COMPUTE_ENGINE_PUB:other,ID_ED25519:multi,MATOMO_SERVER_PUB:other,SURFACE_DEPLOY_PUB:other,SURFACE_NIXOS_PUB:other,VAULT_ID_RSA:multi,VAULT_ID_RSA_PUB:other,WG_PRIVATE_KEY_GCP_PROXY:token,WG_PRIVATE_KEY_OCI_ANALYTICS:token,WG_PRIVATE_KEY_OCI_APPS:token,WG_PRIVATE_KEY_OCI_MAIL:token","OK","true"
"c_vps/ba-clo_cloudflare/src/secrets.yaml","1","cloudflare_api_key:token","OK","true"
"c_vps/vps_oci/src/secrets.yaml","2","compartment_ocid:token,tenancy_ocid:token","OK","true"
"c_vps/vps_resend/src/secrets.yaml","3","cloudflare_api_token:token,cloudflare_zone_id:token,resend_api_key:token","OK","true"
